data-division,data-items-familyName,data-items-species-speciesName,data-items-species-above.,data-items-species-folders-description,data-items-species-folders-prepared.,data-items-species-folders-above.
DICOTYLEDONES,RANUNCULACEAE,"Coptis Teeta, Wall. ""Mishmi""",,"Plant with leaves and root. Ex Herb. late E. I. Company, E. Bengal (in Herb. Griffith), Distributed by the Royal Gardens, Kew, 1861-2. b. Ditto. Ex Herb. Hort. Calcutta, Griffith ; from Dr. T. Thomson, 18 Mar., 1864.",,
DICOTYLEDONES,RANUNCULACEAE,"Delphinium Consolida, L.",,"Plant in flower and fruit. Bingen-on-the-Rhine, 20 Aug., 1855.",,
DICOTYLEDONES,RANUNCULACEAE,"Helleborus fatidus, L.",,"Leaves and inflorescence. Vienne (Isère), 27 April, 1854.",,
DICOTYLEDONES,RANUNCULACEAE,"Helleborus lividus, Alt.",,"Leafy stem. Near Bocagnano, Corsica, June, 1868. Common about Bastia and Suri.",,
DICOTYLEDONES,RANUNCULACEAE,"Helleborus lividus, Alt.",,Inflorescence.,,
DICOTYLEDONES,RANUNCULACEAE,"Helleborus niger, L.",,"Leaf and root. Cultivated at Clapham Common, 1873.",,
DICOTYLEDONES,RANUNCULACEAE,"Helleborus viridis, L.",,"Leaf and inflorescence. Leigh Woods, Bristol ; W. W. Saunders, May, 1855.",,
DICOTYLEDONES,RANUNCULACEAE,"Nigella arvensis, L.",,"Plant in flower and fruit. Bingen-on-the-Rhine, 20 Aug., 1855.",,
DICOTYLEDONES,RANUNCULACEAE,"Nigella Damascena, L.",,"(1) Toulon, May, 1854.",,
DICOTYLEDONES,RANUNCULACEAE,"Nigella Damascena, L.",,"(2) Grasse, 1857.",,
DICOTYLEDONES,RANUNCULACEAE,"Nigella Damascena, L.",,"(3) Draguignan, 10 July, 1857.",,
DICOTYLEDONES,RANUNCULACEAE,"Nigella sativa, L.",,"Plant in flower. From seeds received from A. E. Webb, 21 Aug., 1871.",,
DICOTYLEDONES,RANUNCULACEAE,"Xanthorrhiza apiifolia, L'Her.",,"Flowering twig. Bot. Gard., Cambridge, Mass ; from Prof. Asa Gray, 1868.",,
DICOTYLEDONES,RANUNCULACEAE,"Xanthorrhiza apiifolia, L'Her.",,"Ditto, with leaves.",,
DICOTYLEDONES,RANUNCULACEAE,"4 THALAMIFLOR.E. 20. Chondodendron* tomentosum, R. & P.",,"a. Leaves. From Pl. Bras. J. Correa de Mello. The leaves are respec- tively labelled in his writing: ""(1) Menispermacae, No. 3, Cissampelos? (Folhas da planta qui produira Pareira brava)""; (2) ""Folha da Abutia de St. Sebastiao""; (3) ""Abutia de St. Sebastiao."" By D. H. the sheets are labelled: ""Botryopus platyphylla, Miers.""",,
DICOTYLEDONES,RANUNCULACEAE,"4 THALAMIFLOR.E. 20. Chondodendron* tomentosum, R. & P.",,"b. Ditto. This is Menispermacae, No. 5. ""Folhas da Abutia pequena on Pareira brava pequena"" of J. Correa de Mello, and is also labelled by D. H.: ""Botryopus platyphylla, Miers.""",,
DICOTYLEDONES,RANUNCULACEAE,"4 THALAMIFLOR.E. 20. Chondodendron* tomentosum, R. & P.",,"c. Ditto. Leafy stem with detached portion of stem and young fruit. This is ""No. 5, Abuta minula, Butinha vel Pareira brava minula,"" from Theodor Peckolt, Cantagallo, Brazil, 1867, and is labelled by D. H.: ""(Botryopus platyphylla, Miers),"" and superscribed ""Chondodendron tomentosum, R. & P.""",,
DICOTYLEDONES,RANUNCULACEAE,"4 THALAMIFLOR.E. 20. Chondodendron* tomentosum, R. & P.",,"d. Twig, with leaves and detached inflorescence. From Theodor Peckolt, Cantagallo, Brazil, 1867, and is labelled in D. H.'s writing: ""Botryopus platyphylla, Miers (Eichler in Martius' Fl. Bras., fasc. 38, tab. 48),"" and is superscribed: ""Chondodendron tomentosum, R. & P.""",,
DICOTYLEDONES,RANUNCULACEAE,"4 THALAMIFLOR.E. 20. Chondodendron* tomentosum, R. & P.",,"e. Ditto, a second specimen.",,
DICOTYLEDONES,RANUNCULACEAE,"4 THALAMIFLOR.E. 20. Chondodendron* tomentosum, R. & P.",,"f. Flowering twig, with smaller leaves. This is labelled: ""No. 5 Butinha vel Pareira Brava minula; with dried stems, from Theodor Peckolt, 1867 ;"" it is also labelled with the two botanical names.",,
DICOTYLEDONES,RANUNCULACEAE,"4 THALAMIFLOR.E. 20. Chondodendron* tomentosum, R. & P.",,"g. Ditto, a second specimen, with portion of stem and detached fruit. Labelled as above, and also as ""Abuta minula.""",,
DICOTYLEDONES,RANUNCULACEAE,"4 THALAMIFLOR.E. 20. Chondodendron* tomentosum, R. & P.",,"h. A third specimen, with stem and panicle of young fruit.",,
DICOTYLEDONES,RANUNCULACEAE,"4 THALAMIFLOR.E. 20. Chondodendron* tomentosum, R. & P.",,"i. Ditto, a fourth specimen, with large leaves. h and i are labelled in the same way as g.",,
DICOTYLEDONES,RANUNCULACEAE,"4 THALAMIFLOR.E. 20. Chondodendron* tomentosum, R. & P.",,"j. A flowering and a fruiting twig. *[The first r in the name Chondodendron is here omitted in deference to the opinion expressed by the late Daniel Hanbury. 'Science Papers,' p. 387. ]",,
DICOTYLEDONES,RANUNCULACEAE,"This is No. 7 ""Butua legitima vel Pareira Brava legitima,"" Theodor Peckolt, 1867, and is labelled by D. H.: ""Cocculus Chondodendron, Dec. ; Chondodendron tonentanum, R. & P. ; Cissampelos Abutus, Velloso, Flor. Flum. x.t. 140, and Botevogias platyphylla Miers. With large specimen of stem and fruits, both dried and in alcohol."" k. Seedling plant, and a very large leaf. The seedling plant was raised at Clapham from seeds received from Mr. Glazion, 1874; the leaf was sent by T. Peckolt, 1867. Attached to this sheet is the proof of the drawing of the fruit published in Pharm. Journ., 2 Aug., 1873. [Specimen b differs from the other specimen of C. tonentanum in the more acuminate leaves, although younger leaves on a separate shoot are obtuse. The super- scription of Chondodendron tonentanum over Botevogias platyphylla in these specimens appears to have followed a recognition of the fact pointed out to D. H. by E. M. H., that the Kew specimens at that time labelled Botevogias platyphylla were identical with those at the British Museum labelled Chondodendron tonen- tanum, R. & P, and were different from the British Museum specimens of Botevogias platyphylla, Miers.]",,"This is No. 7 ""Butua legitima vel Pareira Brava legitima,"" Theodor Peckolt, 1867, and is labelled by D. H.: ""Cocculus Chondodendron, Dec. ; Chondodendron tonentanum, R. & P. ; Cissampelos Abutus, Velloso, Flor. Flum. x.t. 140, and Botevogias platyphylla Miers. With large specimen of stem and fruits, both dried and in alcohol."" k. Seedling plant, and a very large leaf. The seedling plant was raised at Clapham from seeds received from Mr. Glazion, 1874; the leaf was sent by T. Peckolt, 1867. Attached to this sheet is the proof of the drawing of the fruit published in Pharm. Journ., 2 Aug., 1873. [Specimen b differs from the other specimen of C. tonentanum in the more acuminate leaves, although younger leaves on a separate shoot are obtuse. The super- scription of Chondodendron tonentanum over Botevogias platyphylla in these specimens appears to have followed a recognition of the fact pointed out to D. H. by E. M. H., that the Kew specimens at that time labelled Botevogias platyphylla were identical with those at the British Museum labelled Chondodendron tonen- tanum, R. & P, and were different from the British Museum specimens of Botevogias platyphylla, Miers.]",,
DICOTYLEDONES,RANUNCULACEAE,"21. Cissampelos glaberrima, St. Hill. a. Flowering twig, male. Campinas ; J. Correa de Mello, 12 Jan., 1865. b. Ditto. ""No. 1. Menispermaceae,"" Campinas ; J. Correa de Mello 17 Jan., 1869.",,"21. Cissampelos glaberrima, St. Hill. a. Flowering twig, male. Campinas ; J. Correa de Mello, 12 Jan., 1865. b. Ditto. ""No. 1. Menispermaceae,"" Campinas ; J. Correa de Mello 17 Jan., 1869.",,
DICOTYLEDONES,RANUNCULACEAE,"22. Cissampelos grandifolia, Tr. & Pl. a. Flowering twigs. Mounee Station, Panama Railroad ; S. Hayes, 30 Sept., 1862.",,"22. Cissampelos grandifolia, Tr. & Pl. a. Flowering twigs. Mounee Station, Panama Railroad ; S. Hayes, 30 Sept., 1862.",,
DICOTYLEDONES,RANUNCULACEAE,"23. Cissampelos Pareira, L. a. Flowering twigs. Common about Panama ; S. Hayes, 1861. b. Ditto. Trinidad, W. Indies ; H. Prestoe, 1866. c. Ditto. ""No. 2. Menispermaceae,"" Campinas ; J. Correa de Mello, 19 Dec., 1868.",,"23. Cissampelos Pareira, L. a. Flowering twigs. Common about Panama ; S. Hayes, 1861. b. Ditto. Trinidad, W. Indies ; H. Prestoe, 1866. c. Ditto. ""No. 2. Menispermaceae,"" Campinas ; J. Correa de Mello, 19 Dec., 1868.",,
DICOTYLEDONES,RANUNCULACEAE,C. Pareira,,"Flowering twigs, male and female. Desterro, S. Brazil; Fritz Müller. Received 10 Aug., 1867 with specimens of stem from the same plant, Jamaica; N. Wilson, 1867.",,
DICOTYLEDONES,SARRACENIACE.E.,"Sarracenia purpurea, L.",,"A plant with root and detached flowers. From Butler and McColloch, Covent Garden Market, Oct., 1862 ; the flowers from Mr. Moberly.",,
DICOTYLEDONES,PAPAVERACE.E.,"Chelidonium majus, L.",,"Branch with flower and fruit and detached seeds. Gravesend, July, 1854.",,
DICOTYLEDONES,PAPAVERACE.E.,"Hypecoum procumbens, L.",,"Plant with flower and fruit. (1) Cette, 23 May, 1854. (2) Jerusalem ; E. Atkinson, 1860.",,
DICOTYLEDONES,PAPAVERACE.E.,"Papaver Argemone, L.",,"Plant with flower and fruit. (1) Whitby, Aug., 1854 ; W. F. S. (2) Reading, 16 June, 1860 ; D. H.",,
DICOTYLEDONES,PAPAVERACE.E.,"Papaver dubium, L.",,"Plant in flower. Vaucluse, 5 May, 1854.",,
DICOTYLEDONES,PAPAVERACE.E.,"Papaver hybridum, L.",,"Plant in flower and fruit. (1) Gravesend, July, 1854. (2) Eastbourne, July, 1855.",,
DICOTYLEDONES,PAPAVERACE.E.,"Papaver Rhoas, L.",,"Plant in flower. Erith, Kent, July, 1859.",,
DICOTYLEDONES,PAPAVERACE.E.,"Papaver somniferum, L.",,"Branch with flower and fruit. Cultivated by Mr. Usher, Bodicott, near Banbury, 4 Sept., 1872. ""The white-flowered poppy is preferred to the purple."" [See P. J. (3) VII, p. 1018].",,
DICOTYLEDONES,PAPAVERACE.E.,"Papaver somniferum, L.",,"Ditto, Cultivated at Clapham Common, 1873.",,
DICOTYLEDONES,PAPAVERACE.E.,"Capparis aphylla, L.",,"Fruiting twig, without leaves. Stewart, 'Punjab Plants,' p. 15.",,
DICOTYLEDONES,PAPAVERACE.E.,"Capparis spinosa, L.",,"Flowering twigs. Palazzo Orego, near Mentone, 14 July, 1867.",,
DICOTYLEDONES,PAPAVERACE.E.,"Cistus salvifolius, L.",,"Twigs in flower and fruit. Toulon, 14 May, 1854.",,
DICOTYLEDONES,PAPAVERACE.E.,"Anchietea salutaris, St. Hil.",,"Branch with fruits detached, showing ripe seeds. Campinas, J. C. de Mello, received Dec., 1871.",,
DICOTYLEDONES,PAPAVERACE.E.,"Viola cinerea, Boiss.",,"Entire plant. Stewart, 'Punjab Plants,' p. 19.",,
DICOTYLEDONES,PAPAVERACE.E.,"Viola pedata, L.",,"Flowering plant, with root attached. Schuykill Falls, 6 Oct., 1860 (second flowering).",,
DICOTYLEDONES,PAPAVERACE.E.,"Canella alba, Murray.",,"Twig with young fruit; with detached fruit and bark. (1) Southern shore of the island of Jamaica; Mr. G. Roberts, 16 Sept., 1857: (2) Flowering twig; Botanic Gardens, Jamaica; received Oct., 1857, per N. Wilson, Bath, Jamaica. b. Ditto, Leafy twig. (1) Bananas, together with the bark (see the Hanbury Materia Medica Collection); from Governor Rawson, received 3 Dec., 1888, per N. Wilson, 1857. (2) Flowering twig, Jamaica.",,
DICOTYLEDONES,PAPAVERACE.E.,"Cinnamodendron corticosum, Miers.",,"Leafy twig. Cultivated in England, 1865.",,
DICOTYLEDONES,PAPAVERACE.E.,"Cinnamodendron corticosum, Miers.",,"Leaves, with detached bark and fruit. Received from N. Wilson, Bath, Jamaica, 3 Nov., 1856.",,
DICOTYLEDONES,PAPAVERACE.E.,"Bixa Orellana, L.",,"Twig with young fruit. Hacienda del Powero, Cordova, Mexico: Hugo Finek.",,
DICOTYLEDONES,POLYGALAE,,,,,
DICOTYLEDONES,POLYGALAE,"Krameria tomentosa, St. Hil. (Krameria Ixina, L., var. # granatennis Triana.)",,Flowering branches.,,
DICOTYLEDONES,POLYGALAE,"Krameria tomentosa, St. Hil. (Krameria Ixina, L., var. # granatennis Triana.)",,"Ditto, with detached portion of root.",,
DICOTYLEDONES,POLYGALAE,"Krameria tomentosa, St. Hil. (Krameria Ixina, L., var. # granatennis Triana.)",,"Jiron, near Pamplona, New Granada. John Weir, 1 Feb., 1864.",,
DICOTYLEDONES,POLYGALAE,"Krameria tomentosa, St. Hil. (Krameria Ixina, L., var. # granatennis Triana.)",,The root is collected and shipped to Europe where it is known as Savannila Rhatany.,,
DICOTYLEDONES,POLYGALAE,"Krameria tomentosa, St. Hil. (Krameria Ixina, L., var. # granatennis Triana.)",,"The following notes in D. Hanbury's handwriting are attached to these specimens:— ""Agrees well with'Krameria Ixina, L., Mexico,' Herb. Pavon ; also with the same plant marked'Curassao, Mr. Von Rohr, 1783.' It seems to be the same species as'Krameria,' collected by Gardiner (no number), marked as'Common,' on dry hilly pastures in the Sartao, of the Province of Ceara, Sept., 1838; the same also as'Kramerin, No. 925,' of Gardner's Brazilian Plants, British Museum, 12 May, 1854. Professor Oliver and I compared this plant with the species of Krameria in the Hookerian Herbarium, and found it to agree with Kramerin, No. 925, marked in Gardner's writing thus:—' A shrub about 3 feet high with long spreading branches, on a low hill covered with bushes, in the interior of the island of Humarics, Dec., 1857.' ""There is no specimen in the Linnean Herbarium. A full description of Krameria Isina is contained in 'Lofting, Her Hispaniunm' (Stock- holm, 1738, p. 195). The leaves of the plant are stated to be 'altern, lanceolate, superiora linearia acuta, subsecundilis,' terms which are not inapplicable to the British Museum specimen (Pavon and Rohrs), admitting the leaves to be the linear, acute, subsecundile upper leaves. Gardner's 'Krameria, No. 4094, from upland sandy campos, Serra Geral, Province of Goyaz, May, 1860,' and 'No. 2781, District of the Rio Prato, Province of Pernambuco, Sept., 1860,' is a species coming very near to K. Isina (assuming No. 253 to be that plant), but the entire plant is rather more shaggy, and the fruit has the spinos more numerous, not barbed, with only a few scattered hairs between them (instead of a dense tomentum).' [See paper by Hanbury in Proc. Roy. Hort. Soc., Nov. and Dec. 1864, p. 181; and Pharrn. Journ. 53, vi., p. 469; 'Science Papers,' p. 325.]
The following description, quoted from a letter from J. Triana, is also appended: 'Krameria Isina var. A granatensis auffretex vovosus, folia ocatin in petiolo attenuata, spatulatice, acutis, spinoscatellatis, crassit, obvart. 3necris, sicut tota planta pube brevissimam incanis, supratis in horto linearis pungentia acutellatis, floribus pedicellatis in racemos terminalibus digestis, fructa globo magnitudinis pisi, oculatis retrovorsis adnervis maricanto, Laperiensi.'
A specimen of K. Isina from the Antilles, consisting of a portion of a twig with a flower and fruit, accompanies these notes.",,
DICOTYLEDONES,POLYGALAE,"Munditia Brasilienis, St. Hil.",,Twigs in flower and detached fruits.,,
DICOTYLEDONES,POLYGALAE,"Munditia Brasilienis, St. Hil.",,"No. 1. Camppestis: J. Correa de Melo, Campinas, Brazil, 1865.",,
DICOTYLEDONES,POLYGALAE,"Munditia Brasilienis, St. Hil.",,b. Leafy twig. No. 1. Silvestris. From the same locality and collector. [The leaves in specimen b. are much larger than in a.],,
DICOTYLEDONES,POLYGALAE,"Drymaria cordata, Wild.",,"Plant in flower. ""Found on the highest part of the Volcano of Izaleo, out of the range of the vapour"" ; Dr. Charles Dorat, Sonsonate, State of San Salvador, Central America, 1861. On the same sheet is a specimen of a moss, Funaria alveolens, Schwa.",,
DICOTYLEDONES,POLYGALAE,"Tamarix dioica, Roxb.",,"Lahi or Jhau. (Hind.) a. With fruit. Stewart, 'Punjab Plants,' p. 91.",,
DICOTYLEDONES,POLYGALAE,"Tamarix dioica, Roxb.",,"Stewart, 'Punjab Plants,' p. 92.",,
DICOTYLEDONES,POLYGALAE,"Vismia dealbata, H.B.K.",,Lacere-zeira. a. Flowering branchlet.,,
DICOTYLEDONES,POLYGALAE,"Vismia dealbata, H.B.K.",,"b. Twig with young fruit. Santarem, Para. H. W. Bates, Aug. 18, 1853. The following note is attached to the specimen a. : ""No. 8, Lacerezeira, with specimens of gum and roots. The specimen of gum I collected from one wounded tree. The tree was slender; height, 20 feet; diameter of stem, 4 inches. It runs slowly like wax, but soon solidifies. It is an indelible pigment, colour of gamboge. I supposed the tree was a species of Vismia. The roots, I now find, are much esteemed as a remedy here; decoctions drank in tea have performed great cures in old chronic gonorrhoea. The botanical specimens were taken, some from the tree, which yielded the gum, and others from those from which I took the roots; not observing any specific difference, I have put them together."" Specimen b is labelled, ""Yields a red gum, applied exter- nally in ringworm, &c. Received March, 1853.""",,
DICOTYLEDONES,POLYGALAE,"Garciaia Hanburyi, Hook. f.",,"Garciaia Morella, Desrous. var. pedicellata. a. Leaves. Singapore, D'Almeida. With 6 drawings attached, includ- ing a sketch of the tree, leaves, flowers, and dissections of the flower and fruit. [These drawings formed the basis of the illustrations published in the Trans. Linn. Soc., 1864, vol. xxiv. tab. 50a, p. 487. The plant was subsequently raised to the rank of a species by Sir J. D. Hooker, under the name of G Hanburyi, Hook. f. See Journ. Linn. Soc., vol. xiv., p. 485, 1875. Bentl. and Trim. Med. Pl., tab. 33. Hanbury 'Science Papers,' p. 326-333.]",,
DICOTYLEDONES,POLYGALAE,"Dryobalanops Camphora, Colebr.",,"A leafy twig bearing flower buds and detached leaves and flowers. Sumatra, Dr. W. H. K. De Vriese, Leyden, 8 Aug., 1857. ",,
DICOTYLEDONES,POLYGALAE,"Gossypium herbaceum, L.",,"Twigs with flower and fruit and detached seeds. Cultivated, Larnaka, Cyprus, 24 Sept., 1860. D. H.",,
DICOTYLEDONES,POLYGALAE,"Pachira aquatica, Auct.? (pl. 291, 292?)",,"Twig in flower. No. 13. ""Payne amarella."" ""Gelber Wollbaum."" Theodor Peckolt, Cantagallo, Brazil, 1867.",,
DICOTYLEDONES,POLYGALAE,"Pachira aquatica, Auct.? (pl. 291, 292?)",,"A tree 20 to 50 feet high ; the natives call it ""Barrigon blanco,"" and use the down of the pods for stuffing pillows ; "" S. Hayes.",,
DICOTYLEDONES,POLYGALAE,"P. sesillia, Benth.",,"Twig, with fruit and detached flower and leaves. In woods and on slopes of hills near Panama, 25 Jan., 1862. ""A tree 20 to 50 feet high ; the natives call it ""Barrigon blanco,"" and use the down of the pods for stuffing pillows ; "" S. Hayes.",,
DICOTYLEDONES,POLYGALAE,"Basiloxylon Rex, Schumann.",,"Flowering twigs. No. 18. ""Pao rei vel Farrinha secca"" (gutes Bretterholz); Theodor Peckolt, Cantagallo, Brazil, 1867. [Schumann remarks that this is not a Stereulia—Peckolt identifies it as Stereulia Rex, Mart. (Pharm. Journ. (2), xiv., p.87) —but that the plant probably belongs to a new genus, for which he proposes the name Basiloxylon.]",,
DICOTYLEDONES,POLYGALAE,"Byttneria lanceolata, D.C.",,"Twigs with flowers and detached root. ""Sarsaparilla Negra,"" Sonsonaté, State of San Salvador; Dr. Charles Durat, Oct., 1860.",,
DICOTYLEDONES,POLYGALAE,"Byttneria lanceolata, D.C.",,"Ditto, with portion of prickly stem and root ""Sarsaparilla Colorada "" (red) ; flowers white.",,
DICOTYLEDONES,POLYGALAE,"Cheirostemon platanoideas, H.B.K.",,"Twig with flowers and detached flowers laid open, Bot. Gardens, Palermo, 17 May, 1872.",,
DICOTYLEDONES,POLYGALAE,"Guazuma tomentosa, H.B.K.",,"Twig with flowers. ""Caulote""; bark much used to clarify sugar-cane juice Dr. Dorat, Sonsonaté, 1863.",,
DICOTYLEDONES,POLYGALAE,"Herrania alibora, Gaud.",,Leaf with detached flowers.,,
DICOTYLEDONES,POLYGALAE,"Herrania alibora, Gaud.",,"Portion of leaf continued from a. Lion Hill Station, Panama ; Sutton Hayes, Jan. 1863. A shrub 10-18 feet high, without branches. The flowers appear on the stem often close to the ground. The fruits are hispid externally. A pencil sketch of the fruit accompanies the specimen. For fruit preserved in alcohol, see the Hanbury Materia Medica Collection.",,
DICOTYLEDONES,POLYGALAE,"Sterculia scaphigera, Wall.",,"Leaves (1) and (2) fruit with wing attached. (1.) Leaves of seedling plants raised at Bangkok by Sir R. H. Schomburgk. (2.) Malacca ; Griffiths. The fruit is the “Bungtalai” of the Siamese and the “Boa-tam-paijang” of Guibourt’s Hist. des Drogues. A letter from Dr. A. O. Black, dated Kew, May 19th, 1862, is attached to this specimen, in which the following remarks occur:— “On looking at the genus Scaphium in Herb. Hook. I find three sheets with follicles, and with the follicles on one sheet a piece of an Enphor- baceous plant in flower and leaf, which I have had cut off, so I send you one of the follicles, and I think from looking at it you will readily admit that it is extremely like your Chinese ‘Ta-hai-tze.” If you have leaves on the specimens in the Exhibition, could you manage to get some for Herb. Hook. as we have none, neither have we of flowers? Wallich’s specimens are from Martaban, and Griffith’s, one of which is enclosed, from Malacca. Hooker and Bentham retain the plant in Sterculia (S. scaphigerus), and Brown in “Plantes Javanices” ranks it as a genus under the name of Scaphium Wallischi.” [See Pharm. Journ. (3), viii. p. 784.]",,
DICOTYLEDONES,TILIAE,,,,,
DICOTYLEDONES,TILIAE,"Grewia betulifolia, Juss. ""Inzar.""",,"a. Leafy twig with detached fruit and leaves. Stewart, 'Punjab Plants,' p. 27.",,
DICOTYLEDONES,TILIAE,"Grewia oppositifolia, Buch. ""Pastoum""",,a. Leafy twig.,,
DICOTYLEDONES,TILIAE,"Grewia oppositifolia, Buch. ""Pastoum""",,"b. Ditto. Stewart, 'Punjab Plants,' p. 27. Specimen b. is labelled “Daman.”",,
DICOTYLEDONES,LINEAE,"Linum catharticum, L.",,"a. Plant in flower. Two specimens. (1) Near Whitby, Aug., 1854. (2) Lindfield, Sussex, 21 July, 1874.",,
DICOTYLEDONES,LINEAE,"Linum usitatissimum, L.",,"a. Plant in flower with detached seeds. Raised at Clapham, from the straw-coloured seed imported from Bombay, 18 Oct., 1874. The plant appears in nowise different from the ordinary form.",,
DICOTYLEDONES,MALPIGHIACEAE,Tetrapertys species?,,"Flowering branchlet. ""No. 6, Im Kaffee sehr haufig,"" Theodor Peckolt, Can tagallo, Brazil, 1867.",,
DICOTYLEDONES,ZYGOPOHYLLEAE,"Balanites EGYPTIACA, Delil.",,"a. Branch and twig, with flower and fruit. Wady el Kelt, between Jerusalem and the supposed site of Jericho, 20 Nov., 1860; Dr. J. D. Hooker and D. Hanbury. A tree 15 feet high.",,
DICOTYLEDONES,ZYGOPOHYLLEAE,"Fagonia Cretica, L. ""Ispalgrai, Spalaglizai"" (Pushtu).",,"a. Branchlet, with flowers and fruit. Stewart, 'Punjaub Plants,' p. 37.",,
DICOTYLEDONES,ZYGOPOHYLLEAE,"Guaiacum arboreum, H.B.K.",,"a. Leafy branch, with fruit. At the Pops, near Carthagena, 7 April, 1862. From 'Plants of Central America,' collected by Sutton Hayes, No. 619. A small spreading tree, 20 feet high, with ripe fruit called ""Guayaca"" by the natives; S. Hayes.",,
DICOTYLEDONES,ZYGOPOHYLLEAE,"Guaiacum officinale, L.",,"a. With flowers and fruit. Port au Prince, Hayti. Mons. Eugène Nau; received 29 July, 1873, D. H. ""Recoltes dans la plaine du Cul de Sac, par Eng. Nau.""",,
DICOTYLEDONES,ZYGOPOHYLLEAE,"Guaiacum officinale, L. var. nanum. ""Le Gayac nain.""",,"a. Twig with flowers and detached fruit. Port au Prince, Hayti; Mons. Eugène Nau, D. H.; received 29 July, 1873. ""Troisième espèce (Guaiaecum verrum) cueillies dans la plaine du Cul de Sac, par Eug. Nau.""",,
DICOTYLEDONES,ZYGOPOHYLLEAE,"Guaiacum officinale, L. var. nanum. ""Le Gayac nain.""",,"b. (1) Twig with leaves and flowers. Labelled ""Martinique, Pée, ex Herb. Mus. Paris.""",,
DICOTYLEDONES,ZYGOPOHYLLEAE,"Guaiacum officinale, L. var. nanum. ""Le Gayac nain.""",,"b. (2) Leaves and flowers of G. sanctum, L. St. Dominique; Nectoux.",,
DICOTYLEDONES,ZYGOPOHYLLEAE,"Guaiacum officinale, L. var. nanum. ""Le Gayac nain.""",,"b. (3) Ditto, a fruit of G. sanctum, L. St. Dominique; Desportes. The specimens of G. sanctum are marked in Hanbury's handwriting. ""From E. Bureau, 31 May, 1873.""",,
DICOTYLEDONES,ZYGOPOHYLLEAE,"Guaiacum sanctum, L.",,"a. Leaves and fruit. Port au Prince, Hayti; Mons. Eugène Nau; received 29 July, 1873, D. H. ""Deuxième espèce, le gaiac bâtaré, cueillies dans la plaine du Cul de Sac. Eug. Nau.""",,
DICOTYLEDONES,ZYGOPOHYLLEAE,"Nitraria tridentata, Desf.",,"a. Twig with fruit and leaves. Northern end of Dead Sea, 21 Oct., 1860; Dr. J. D. Hooker and D. Hanbury. [This plant is said by Murby to be the true Lotus Plant of the Ancients. It possesses a somewhat intoxicating action. To the Arabs the shrub is known as Damouch. Rosenthal, ""Pl. Diaph.,"" p. 798. See Zizyphus lotus.]",,
DICOTYLEDONES,ZYGOPOHYLLEAE,"Tribulus (alatus, Del.?) ""Chukra"" (Pl).",,"a. With leaves and flowers. Stewart, 'Punjaub Plants,' p. 37.",,
