data-division,data-items-familyName,data-items-species-speciesName,data-items-species-folders-description
Dicotyledones,AMPANULACEAE,Companula latifolia [G],"speciesName: Campanula rapunculus L. folders: [{'description': 'Folder 1\\. Campanula rapunculus \\[TA\\]'}, {'description': 'Folder 2\\. Campanula rapunculus \\[TA\\]'}]"
Dicotyledones,AMPANULACEAE,Campanula rapunculus [TA],Campanula rapunculus \[TA\]
Dicotyledones,AMPANULACEAE,"Campanula hederacea [G]. i. ""Devon & Cornwall"" [JL]","Folder 2\. Campanula hederacea \[G\]\. i\. ""Devon & Cornwall"" \[JL\]"
Dicotyledones,APRIFOLIACEAE,Linnaea borealis L.,"Linnaea borealis \[JL\]. i\. Cites Linn. Sp. Pl. 631; Bauh. Pin. 93. ii\. ""This is a Native of Sweden, Sibiria, Switzerland, Russia, Canada, & c. This Specimen was gathered & communicated by Jos: Banks Esqr. who discover'd it in Abundance in the Woods in Newfoundland"" \[JL\]. iii\. ""In Scotland—See English Botany N.433"" [? G]."
Dicotyledones,APRIFOLIACEAE,Lonicera periclymenum L.,Lonicera periclymenum \[TA\].
Dicotyledones,APRIFOLIACEAE,Viburnum lantana L.,Viburnum lantana \[TA\].
Dicotyledones,APRIFOLIACEAE,Viburnum opulus L.,Viburnum opulus \[TA\].
Dicotyledones,ARYOPHYLLACEAE,Arenaria serpyllifolia L.,Arenaria Serpyllifolia [TA]
Dicotyledones,ARYOPHYLLACEAE,"Bufonia tenuifolia L., Flora Europaea 1: 133 (1964)",Bufonia Tenuifolia [TA]
Dicotyledones,ARYOPHYLLACEAE,Cerastium alpinum L.,"[Not a British plant, but from southern and eastern Europe.]"
Dicotyledones,ARYOPHYLLACEAE,Cerastium alpinum L.,Folder
Dicotyledones,ARYOPHYLLACEAE,"Cerastium latifolium [G]. i. Cites Ray's Syn. 349. ii. ""Cerastium alpinum. This was gathered upon Snowdon at the top of the highest Rock call'd Clogwyn y Garnedh. June"" [JL]. iii. ""Top of Snowdon"" [JL]. iv. ""Dr. Solander affirms this to be the true Cerastium alpinum. I had it from Snowdon. He found it at Terra del Fuego & named it C. hirtum with a mark of Dubitation, but now thinks them both one"" [JL].",Folder
Dicotyledones,ARYOPHYLLACEAE,"Cerastium alpinum [TA]; Cerastium latifolium [G]. i. ""Clogwyn dû"" [JL]. ii. ""Cerast: alpin: Ben Lomond"" [JL].","Cerastium alpinum [TA]; Cerastium latifolium [G]. i. ""Clogwyn dû"" [JL]. ii. ""Cerast: alpin: Ben Lomond"" [JL]."
Dicotyledones,ARYOPHYLLACEAE,Cerastium arvense L.,Folder
Dicotyledones,ARYOPHYLLACEAE,Cerastium arvense L.,Folder
Dicotyledones,ARYOPHYLLACEAE,Cerastium arvense [TA],"Cerastium arvense \[TA\]. i\. ""Cerastium arvense. This must be right tho' the leaves are hoary"" \[JL\]. ii\. ""Cerastium arvense. Very common in Norfolk. Why does Lin. put the word glabris in his Specific Description in opposition to truth & the Testimony of all Authors"" \[B\]"
Dicotyledones,ARYOPHYLLACEAE,Cerastium arvense [G]. [See also under C. arcticum Folder 1.],Cerastium arvense \[G\]. [See also under C. arcticum Folder 1.]
Dicotyledones,ARYOPHYLLACEAE,"Cerastium fontanum Baumg., subsp. triviale (Link) Jalas, Flora Europaea 1: 142 (1964)","Cerastium fontanum Baumg., subsp. triviale (Link) Jalas, Flora Europaea 1: 142 (1964)"
Dicotyledones,ARYOPHYLLACEAE,Cucubalus baccifer L.,"Folder 1\. Cucubalus baccifer \[G\]. i\. ""Bulstrode"" \[JL\]"
Dicotyledones,ARYOPHYLLACEAE,Cucubalus baccifer L.,"Folder 2\. Cucubalus baccifer \[G\]. i\. ""Bulstrode"" \[JL\]"
Dicotyledones,ARYOPHYLLACEAE,Cucubalus baccifer L.,Folder 3\. Cucubalus baccifer \[G\]
Dicotyledones,ARYOPHYLLACEAE,Cucubalus baccifer L.,"Sheet 1\. Cucubalus baccifer \[JL\]. i\. ""Cucubalus bacciferus calyicibus campanulatis, petalis distantibus, pericarpis coloratis, ramis divaricatis. Lin: Syst. Nat. Cucubalus Plinii. R. Syn: 267."" ii\. ""Berry-bearing Chickweed. July & Aug! This plant was found growing spontaneously in the Isle of Man, by Dr. Richardson"" [JL]. [On loose label in pencil:] ""I. of Dogs"" [Riddelsdell]."
Dicotyledones,ARYOPHYLLACEAE,Dianthus armeria L.,Dianthus armeria \[TA\]
Dicotyledones,ARYOPHYLLACEAE,Dianthus caryophyllus L.,"Dianthus caryophyllus \[TA\]. i\. ""Dianthus caryophyllus Lin: Ray Syn: p. 336. no. 3. on Rochester Castle Walls & c."" [JL]. ii\. ""& single Clove mentioned in Ray on Rochester Walls"" [?]; ""??? is this not from a Garden"" [JL]."
Dicotyledones,ARYOPHYLLACEAE,Dianthus caryophyllus L.,"Dianthus caryophyllus \[TA\]. i\. ""Dianthus caryophyllus Lin: Ray Syn: p. 336. no. 3. on Rochester Castle Walls & c."" [JL]. ii\. ""& single Clove mentioned in Ray on Rochester Walls"" [?]; ""??? is this not from a Garden"" [JL]."
Dicotyledones,ARYOPHYLLACEAE,Dianthus deltoides L.,Folder 1\. Dianthus deltoides \[G\]
Dicotyledones,ARYOPHYLLACEAE,Dianthus deltoides L.,Folder 2\. Dianthus deltoides \[G\]
Dicotyledones,ARYOPHYLLACEAE,Dianthus glaucus? [TA],"Dianthus glaucus \[TA\]. i\. ""Dianthus glaucus pro certo. Kew. respondet. fig: Dillen:"" \[JL\]. ii\. ""This Aiton [William Aiton] says is the Dianthus glaucus. White flowers with a purple Circle. Kew. compare it with Dianth: deltoides"" \[JL\]"
Dicotyledones,ARYOPHYLLACEAE,"Dianthus deltoides [TA]. ""Dianthus Deltoides. Salt Hill"" [?].",Dianthus Deltoides. Salt Hill
Dicotyledones,ARYOPHYLLACEAE,Dianthus gratianopolitanus Vill.,Folder
Dicotyledones,ARYOPHYLLACEAE,Dianthus gratianopolitanus Vill.,Folder
Dicotyledones,ARYOPHYLLACEAE,Dianthus arenarius Hud. [TA],"Dianthus arenarius \[TA\]. i\. ""Cheddar brought into a Garden"" \[JL\]. ii\. ""Dianthus arenarius the true. Sent by Mr. Banks to Bulstrode from Cheddar."" \[JL\]"
Dicotyledones,ARYOPHYLLACEAE,"Dianthus virginicus [TA]; Dianthus arenarius Huds. [G]. i. ""Dianth: arenar: Bulstrode. Q: an non idem Mr. Banks's"" [JL].",Herniaria ciliolata Meld.
Dicotyledones,ARYOPHYLLACEAE,"Dianthus virginicus [TA]; Dianthus arenarius Huds. [G]. i. ""Dianth: arenar: Bulstrode. Q: an non idem Mr. Banks's"" [JL].",Folder
Dicotyledones,ARYOPHYLLACEAE,Herniaria glabra [TA],"Herniaria glabra. Cites Lin: Sp. Pl: Herniaria; Ray's Syn: 160. ii. ""Smooth Rupture-wort. This specimen was gathered from the Lizard Point in Cornwall & communicated by Mr. Hudson"" [JL]"
Dicotyledones,ARYOPHYLLACEAE,Herniaria glabra [G],Herniaria glabra \[G\]
Dicotyledones,ARYOPHYLLACEAE,Herniaria hirsuta L.,Folder
Dicotyledones,ARYOPHYLLACEAE,Herniaria hirsuta L.,Folder
Dicotyledones,ARYOPHYLLACEAE,Herniaria hirsuta [TA],"Herniaria hirsuta \[TA\]. i\. ""Hern: hirsuta according to Yalden"" \[JL\]. ii. ""Herniaria hirsuta. Gordon's Garden [?]; D. o. P: [possibly the Duchess of Portland] \[JL\]."
Dicotyledones,ARYOPHYLLACEAE,Herniaria glabra [G].,Illecebrum verticillatum L.
Dicotyledones,ARYOPHYLLACEAE,Illecebrum verticillatum L.,"Folder 1\. Illecebrum verticillatum \[TA\]. i\. ""Illecebrum verticillatum floribus verticillatis nudis, caulibus procumbentibus. Lin: Sp: Pl: Corrigiola. Ray's Syn: 160. Verticillate Knot Grass. July. In Marshes & moist Places about Pensans in Cornwall"" \[JL\]. ii. ""The verticillate sample I rec'd from Mr. Banks collected at Pensans, wch I take to be the true Illecib: verticill: but the other seems to be rather Illecib: cymosum, & perhaps the Polygonum maritimum Ray: 161 near Weston. This from Mr. Hudson"" \[JL\]."
Dicotyledones,ARYOPHYLLACEAE,Illecebrum verticillatum L.,Kohlruschia prolifera (L.) Kunth
Dicotyledones,ARYOPHYLLACEAE,Kohlruschia prolifera (L.) Kunth,Folder 1 and 1 sheet.
Dicotyledones,ARYOPHYLLACEAE,Dianthus Prolifer [TA],"Dianthus prolifer \[JL\]. ii\. ""Dianthus prolifer of Eaton. Q: July Aug'. Kew. In Selsey Island Sussex"" \[JL\]"
Dicotyledones,ARYOPHYLLACEAE,Dianthus Prolifer [TA],Sheet
Dicotyledones,ARYOPHYLLACEAE,Dianthus prolifer [G],"Lychnis coronaria (L.) Desr., Flora Europaea 1: 156 (1964)"
Dicotyledones,ARYOPHYLLACEAE,Lychnis viscaria L.,"Lychnis Viscaria [TA]. i. ""Lychnis Viscaria Lin: On the Rocks in Edinburgh Park. Scotland"" [JL]"
Dicotyledones,ARYOPHYLLACEAE,Minuartia hybrida (Vill.) Schischkin,"Arenaria tenuifolia [TA], Flora Scotica ed. 1, 1102 (1777). i. ""Arenaria tenuifolia 10- and: 3-g"" [JL]"
Dicotyledones,ARYOPHYLLACEAE,Minuartia verna (L.) Hiern,"Arenaria verna [TA], Flora Scotica ed. 1, 231, 1140 (1777). i. Cites Lin: Syst: Nat: in Mantissa, page 72; Ger: Provinc: Tab: 15. f: 1.; R: Syn. 350. ii. ""Mountain vernal Chickweed. May. Upon the Mountains in Scotland, & the North of England. This Plant is call’d by Hudson Arenaria saxatilis, but I think his Characters of that Species will not agree with the Samples here exhibited, particularly as the Calyces are not obtuse. They are striated & acuminated, & the Figure of Gerard above-cited agrees perfectly well with these Samples"" [JL]"
Dicotyledones,ARYOPHYLLACEAE,Minuartia verna (L.) Hiern,"Arenaria laricifolia [TA and G]. i. ""Scotland, Yalden"" [JL]"
Dicotyledones,ARYOPHYLLACEAE,Moehringia trinervia (L.) Clairv.,Arenaria trinervia [TA]
Dicotyledones,ARYOPHYLLACEAE,Polycarpon tetraphyllum (L.) L.,"Arenaria laricifolia. Iver Heath"" [JL]"
Dicotyledones,ARYOPHYLLACEAE,Spergula [TA]; S. laricina Huds. [G],"Pool Heath. Dorsetshire"" [JL]"
Dicotyledones,ARYOPHYLLACEAE,Spergula laricina Huds. and S. saginoides Curtis [G].,Spergula laricina Huds. and S. saginoides Curtis [G].
Dicotyledones,ARYOPHYLLACEAE,Saponaria officinalis L.,Saponaria officinalis L.
Dicotyledones,ARYOPHYLLACEAE,Scleranthus annuus L.,Scleranthus annuus? [TA].
Dicotyledones,ARYOPHYLLACEAE,Scleranthus perennis L.,Scleranthus perennis L.
Dicotyledones,ARYOPHYLLACEAE,Scleranthus perennis L.,Scleranthus perennis L.
Dicotyledones,ARYOPHYLLACEAE,"Scleranthus perennis [TA]. i. Cites Ray's Syn. 160. ii. ""Perennial Knawel. Aug.: I gathered these Samples in the Corn Fields at Elden in Suffolk, on the South Side of the Village. Aug. 1768"" [JL] [S. perennis is still growing in the fields around Elden according to R.D. Meikle.]",Folder
Dicotyledones,ARYOPHYLLACEAE,"Scleranthus perennis [G]. i. ""Scleranth. Perennis. certo. Kew"" [JL].",Sheet
Dicotyledones,ARYOPHYLLACEAE,"Scleranthus perennis [?]. i. ""Property of S.W. Museum"" [?]. ii. ""G.S. Gibson Esqr."" [?]. iii. ""Herb. Earl of Bute"" [?]. [Not one of the usual cut-up sheets from Saffron Walden Museum, and probably does not belong in Herb. Lightfoot.]","Scleranthus perennis \[?\. i\. ""Property of S.W. Museum"" [?\. ii\. ""G.S. Gibson Esqr."" [?\. iii\. ""Herb. Earl of Bute"" [?\. [Not one of the usual cut-up sheets from Saffron Walden Museum, and probably does not belong in Herb. Lightfoot.]"
Dicotyledones,ARYOPHYLLACEAE,Silene acaulis (L.) Jacq.,Folder
Dicotyledones,ARYOPHYLLACEAE,Silene acaulis (L.) Jacq.,Folder
Dicotyledones,ARYOPHYLLACEAE,"Silene acaulis [G]. i. Cites Linn. Syst. Nat.; Ray's Syn. 341. ii. ""Moss Campion. July. This Plant is a Native of our alpine Mountains in North Wales. It was gathered & communicated by Mr. Williams, from the Top of Clogwyn du yr Ardder, Snowdon in Carnarvonshire, June 16th 1767"" [JL]. Folder","Silene acaulis \[G\]. i. Cites Linn. Syst. Nat.; Ray's Syn. 341. ii. ""Moss Campion. July. This Plant is a Native of our alpine Mountains in North Wales. It was gathered & communicated by Mr. Williams, from the Top of Clogwyn du yr Ardder, Snowdon in Carnarvonshire, June 16th 1767"" [JL]. Folder"
Dicotyledones,ARYOPHYLLACEAE,"Silene acaulis [TA]. i. ""This from Ben-Lomond"" [?]. ii. ""Silene anglica by Hudson from Cornwall, common. It is Lusitanica"" [JL]. [Label does not belong with specimen; should be on S. gallica Folder 2.]",Folder 1\. Lychnis dioica [G]
Dicotyledones,ARYOPHYLLACEAE,"Silene acaulis [TA]. i. ""This from Ben-Lomond"" [?]. ii. ""Silene anglica by Hudson from Cornwall, common. It is Lusitanica"" [JL]. [Label does not belong with specimen; should be on S. gallica Folder 2.]",Folder 2\. Lychnis dioica [?]
Dicotyledones,ARYOPHYLLACEAE,Silene armeria L.,"Folder 1\. Silene armeria [TA]. i. ""Bulstrode Garden"" [JL]"
Dicotyledones,ARYOPHYLLACEAE,Silene conoidea L.,Folder 1\. Silene conoidea [TA]. [An introduced alien.]
Dicotyledones,ARYOPHYLLACEAE,Silene dioica (L.) Clairv.,Folder 1\. Lychnis dioica [G]
Dicotyledones,ARYOPHYLLACEAE,Silene dioica (L.) Clairv.,Folder 2\. Lychnis dioica [?]
Dicotyledones,ARYOPHYLLACEAE,Silene gallica L.,Folder 1\. Lychnis dioica [G]
Dicotyledones,ARYOPHYLLACEAE,Silene gallica L.,Folder 2\. Lychnis dioica [?]
Dicotyledones,ARYOPHYLLACEAE,"Silene anglica Huds. [G]. i. Cites Ray's Syn. 339. ii. ""Small Corn Catchfly or Campion. This was found at Swathling near Stoneham near Southampton, three fields behind Sir Edwd's Hawke's House, among Turnips. It has been found also among Corn near the Devil's Ditch in Cambridgeshire and near Colchester in Essex. June & July. It is an Annual"" [JL]. Folder","Silene anglica \[Huds. [G]\]. i. Cites Ray's Syn. 339. ii. ""Small Corn Catchfly or Campion. This was found at Swathling near Stoneham near Southampton, three fields behind Sir Edwd's Hawke's House, among Turnips. It has been found also among Corn near the Devil's Ditch in Cambridgeshire and near Colchester in Essex. June & July. It is an Annual"" [JL]. Folder"
Dicotyledones,ARYOPHYLLACEAE,"Silene lusitanica [TA]; S. lusitanica Huds. [G]; S. anglica Huds. [G]. i. ""Silene Lusitanica pro certo. Penzance"" [JL]. [See under S. acaulis Folder 2.]",Silene italic a (L.) Pers.
Dicotyledones,ARYOPHYLLACEAE,Silene noctiflora L.,"1 folder. Cucubalus viscosus [JL]. i. ""Cucubalus viscosus. 10- and: 3-g:"" [JL]. ii. [On reverse:] ""This does not agree with the Linnaean Specimen, wch bears a Spike of flowers with short Peduncles, & The upper Leaves of the Stalks are cordate & sessile"" [JL]."
Dicotyledones,ARYOPHYLLACEAE,Silene noctiflora L.,2 folders.
Dicotyledones,ARYOPHYLLACEAE,"Silene noctiflora [G]. i. ""Silene noctiflora. 10- and: 3-g:"" [JL]. ii. ""Silene noctiflora cream colour'd flowers"" [JL]. Folder","Silene noctiflora \[G\]. i\. ""Silene noctiflora. 10- and: 3-g:"" [JL]. ii\. ""Silene noctiflora cream colour'd flowers"" [JL]. Folder"
Dicotyledones,ARYOPHYLLACEAE,"Silene noctiflora [TA]. i. ""10- and: 3-g."" [JL]","Silene noctiflora \[TA\]. i\. ""10- and: 3-g."" \[JL\]"
Dicotyledones,ARYOPHYLLACEAE,Silene nutans L.,Folder
Dicotyledones,ARYOPHYLLACEAE,Silene nutans L.,Folder
Dicotyledones,ARYOPHYLLACEAE,Silene nutans [TA].,This is certainly the Silene nutans from Gloddaeth [near Conway in Gwynedd (Carnarvonshire)] [JL]. Folder
Dicotyledones,ARYOPHYLLACEAE,Silene nutans [G],Silene nutans \[G\]
Dicotyledones,ARYOPHYLLACEAE,Silene otites (L.) Wibel,Cucubalus viscosus \[TA\]; Cucubalus Otites \[G\]
Dicotyledones,ARYOPHYLLACEAE,Silene otites (L.) Wibel,Silene vulgaris (Moench) Garcke subsp. maritima (With.) A. & D. Love \[G\]
Dicotyledones,ARYOPHYLLACEAE,"Silene amoena [G], Flora Scotica ed. 1, 227 (1777). i. ""Silene amoena. Bulstrode. trailing"" [JL]",Folder
Dicotyledones,ARYOPHYLLACEAE,"Silene amoena [TA]. i. ""Scotland, Yalden"" [JL]. ii. ""Silene amoena, Mr. Parsons from Scotland"" [JL]. iii. 10- and 3-gyn."" [JL]. [See also under S. v. subsp. vulgaris.]",Silene vulgaris subsp. vulgaris
Dicotyledones,ARYOPHYLLACEAE,"Cucubalus behen [TA], Flora Scotica ed. 1, 226 (1777). i. ""Common Behen. Cawsham [near Reading, Berkshire]"" [JL]. ii. ""Ailsa Craig [tiny island south of the Isle of Arran in the Hebrides] β maritima"" [JL] [refers to the right-hand specimen, which is subsp. maritima].",Spergula arvensis L.
Dicotyledones,ARYOPHYLLACEAE,"Cucubalus behen [TA], Flora Scotica ed. 1, 226 (1777). i. ""Common Behen. Cawsham [near Reading, Berkshire]"" [JL]. ii. ""Ailsa Craig [tiny island south of the Isle of Arran in the Hebrides] β maritima"" [JL] [refers to the right-hand specimen, which is subsp. maritima].",Spergularia media (L.) C. Presl
Dicotyledones,ARYOPHYLLACEAE,"Cucubalus behen [TA], Flora Scotica ed. 1, 226 (1777). i. ""Common Behen. Cawsham [near Reading, Berkshire]"" [JL]. ii. ""Ailsa Craig [tiny island south of the Isle of Arran in the Hebrides] β maritima"" [JL] [refers to the right-hand specimen, which is subsp. maritima].",Spergularia sp.
Dicotyledones,ARYOPHYLLACEAE,"Cucubalus behen [TA], Flora Scotica ed. 1, 226 (1777). i. ""Common Behen. Cawsham [near Reading, Berkshire]"" [JL]. ii. ""Ailsa Craig [tiny island south of the Isle of Arran in the Hebrides] β maritima"" [JL] [refers to the right-hand specimen, which is subsp. maritima].",Stellaria alcine Grimm
Dicotyledones,ARYOPHYLLACEAE,"Cucubalus behen [TA], Flora Scotica ed. 1, 226 (1777). i. ""Common Behen. Cawsham [near Reading, Berkshire]"" [JL]. ii. ""Ailsa Craig [tiny island south of the Isle of Arran in the Hebrides] β maritima"" [JL] [refers to the right-hand specimen, which is subsp. maritima].",Stellaria holostea L.
Dicotyledones,ARYOPHYLLACEAE,"Cucubalus behen [TA], Flora Scotica ed. 1, 226 (1777). i. ""Common Behen. Cawsham [near Reading, Berkshire]"" [JL]. ii. ""Ailsa Craig [tiny island south of the Isle of Arran in the Hebrides] β maritima"" [JL] [refers to the right-hand specimen, which is subsp. maritima].",Stellaria nemorum L.
Dicotyledones,ELASTRACEAE,Euonymus europaeus L.,"near Canterbury in Kent]"" [JL]"
Dicotyledones,ELASTRACEAE,Atriplex littoralis L.,4 folders.
Dicotyledones,ELASTRACEAE,Atriplex littoralis L.,Folder
Dicotyledones,ELASTRACEAE,Atriplex littoralis L.,Folder
Dicotyledones,ELASTRACEAE,Atriplex littoralis L.,Folder
Dicotyledones,ELASTRACEAE,Atriplex littoralis [G].,Dorsetshire I think at Weymouth
Dicotyledones,ELASTRACEAE,Atriplex littoralis [TA],"Folder 3\. Atriplex serrata [TA]. i\. ""This I take to be the Atriplex [laciniata deleted by JL] Lin: marina Lin: serrata Huds: Atriplex maritima Ray at Sheerness"" [JL]. ii. ""Atriplex serrata Hud: marina Lin: Indented Sea Orache"" [JL]."
Dicotyledones,ELASTRACEAE,Atriplex littoralis [TA],Folder 4\. Atriplex serrata [G].
Dicotyledones,ELASTRACEAE,Atriplex patula L.,"Folder 3\. Atriplex serrata [TA]. i\. ""This I take to be the Atriplex [laciniata deleted by JL] Lin: marina Lin: serrata Huds: Atriplex maritima Ray at Sheerness"" [JL]. ii. ""Atriplex serrata Hud: marina Lin: Indented Sea Orache"" [JL]."
Dicotyledones,ELASTRACEAE,Atriplex patula L.,Folder 4\. Atriplex serrata [G].
Dicotyledones,ELASTRACEAE,"Atriplex patula [G]. i. ""This I think from Pembrokeshire Coast"" [JL]",Folder
Dicotyledones,ELASTRACEAE,Atriplex patula [G],Folder
Dicotyledones,ELASTRACEAE,"Atriplex hastata [G]. “Atriplex hastata var? seu Atriplex patulae var. maritima? Videtur esse Atriplex sylvestris polygoni folio similis, spi... [illegible] seminalibus dense stipatis. R. Syn: p. 151. Nota sub N° 1. On the Sea Shore at Cley in Norfolk” [JL]",Folder
Dicotyledones,ELASTRACEAE,Atriplex hastata [G],Beta vulgaris L. subsp. maritima (L.) Thell.
Dicotyledones,ELASTRACEAE,2 folders.,Folder
Dicotyledones,ELASTRACEAE,2 folders.,Folder
Dicotyledones,ELASTRACEAE,"Beta maritima [TA], Flora Scotica ed. 1, 150 (1777). i. ""Beta vulgaris Lin: Beta sylvestris maritima. Ray. Sea Beet. 5- and: 2-gyn. At Sheerness. Cal: 5-phyll: Corol:","Beta maritima [TA], Flora Scotica ed. 1, 150 (1777). i. ""Beta vulgaris Lin: Beta sylvestris maritima. Ray. Sea Beet. 5- and: 2-gyn. At Sheerness. Cal: 5-phyll: Corol:"
Dicotyledones,ELASTRACEAE,Semen intra substantiam calycis,Folder
Dicotyledones,ELASTRACEAE,Beta vulgaris [TA],Chenopodium album L.
Dicotyledones,ELASTRACEAE,Chenopodium album L.,Folder
Dicotyledones,ELASTRACEAE,Chenopodium album L.,Folder
Dicotyledones,ELASTRACEAE,"Chenopodium album [G]. i. ""Chen: album. certe. Cowley field"" [JL]. ii. ""Chenop: album. Cowley field [near Uxbridge in Middlesex], large"" [JL]",Folder
Dicotyledones,ELASTRACEAE,Chenopodium album [TA]. i. “Chenop: album” [JL]. ii. “Chenop: album. Essex” [JL],"Chenopodium album \[TA\]. i\. ""Chenop: album"" \[JL\]. ii\. ""Chenop: album. Essex"" \[JL\]"
Dicotyledones,ELASTRACEAE,Chenopodium bonus-henricus L.,Chenopodium Bonus Henricus \[TA\]
Dicotyledones,ELASTRACEAE,Chenopodium glaucum L.,"Chenopodium glaucum \[TA\]. i\. ""Chenop: glaucum. Tothill fields"" \[JL\]. ii\. ""Chenopodium glaucum. Wrasbury & Horton Common"" \[JL\]. iii\. ""Chenop: glaucum. Horton common Dunghills & Mr. Harcourts, Wrasbury"" \[JL\]"
Dicotyledones,ELASTRACEAE,Chenopodium hybridum L.,Chenopod: Hybridum \[TA\]
Dicotyledones,ELASTRACEAE,Chenopodium murale L.,"Chenopod. murale \[TA\]. i\. ""According to the Specimens in the Hort. siccus of Lin: this is the Chenopodium murale, not serotinum"" \[JL\]. ii\. ""Ch: serot: Lin: has pretty large deltoid angular leaves, but no flowers, not unlike our viride"" \[JL\]. iii\. ""Pool [Poole] in Dorset"" \[JL\]. iv\. ""Chenopod. murale. ubique"" \[JL\]"
Dicotyledones,ELASTRACEAE,Chenopodium polyspermum L.,"Chenopodium polyspermum \[TA\]. i\. ""Bit of Chenop: polysperm."" \[JL\]. ii\. ""Chenopodium polyspermum. Lin:"" \[JL\]"
Dicotyledones,ELASTRACEAE,Chenopodium polyspermum L.,"Chenopodium polyspermum \[G\]. i\. ""Chenopodium polyspermum. Lin:"" \[JL\]"
Dicotyledones,ELASTRACEAE,Chenopodium rubrum L.,"Chenopodium rubrum \[TA\]. i\. ""Horton Common. Leaves shining on both sides"" \[JL\]"
Dicotyledones,ELASTRACEAE,Chenopodium rubrum L.,"Chenopodium rubrum \[TA\]. i\. ""Horton Common. Leaves shining on both sides"" \[JL\]"
Dicotyledones,ELASTRACEAE,Atriplex laciniata? [G]. i. “An Atriplex laciniata. Kew. See it in flower” [JL],Chenopodium? suecicum J. Murr.
Dicotyledones,ELASTRACEAE,Chenopodium serotinum [TA]; Linn. & Huds. [G]; C. viride Fl. Londinensis at malé [G]. i. “The true Leaves of Chenop: serotinum var. β of Huds. from Mr. Pitchford. An erect Plant somewhat Ch: album” [JL],Chenopodium vulvaria L.
Dicotyledones,ELASTRACEAE,Halimione pedunculata (L.) Aell.,"Folder 1\. Atriplex pedunculata [TA]. i. ""Atriplex pedunculata Lin: near Yarmouth in Norfolk"" [JL]"
Dicotyledones,ELASTRACEAE,Halimione pedunculata (L.) Aell.,"Folder 2\. Atriplex pedunculata [G]. i. ""Atriplex pedunculata. From Yarmouth. In the same place, where it [was] found last year"" [B]. Sheets 1 and 2. Atriplex pedunculata [G]"
Dicotyledones,ELASTRACEAE,Halimione portulacoides (L.) Aell.,"Folders 1 and 2\. Atriplex portulacoides [G], Flora Scotica ed. 1, 635 (1777)"
Dicotyledones,ELASTRACEAE,Salicornia europaea L.,Folder 1\. Atriplex portulacoides [G]
Dicotyledones,ELASTRACEAE,Salicornia europaea L.,Folder 2\. Atriplex portulacoides [G]
Dicotyledones,ELASTRACEAE,Salicornia europaea L.,Folder 3\. Atriplex portulacoides [G]
Dicotyledones,ELASTRACEAE,"Salicornia herbacea [TA], Flora Scotica ed. 1, 69 (1777). i. ""Salicornia herbacea. Lin: S. europaea. Huds."" [JL]. Folder","Salicornia herbacea [TA], Flora Scotica ed. 1, 69 (1777). i. ""Salicornia herbacea. Lin: S. europaea. Huds."" [JL]. Folder"
Dicotyledones,ELASTRACEAE,Salicornia herbacea [?]\.,"Salicornia herbacea \[?\]\. i\. ""Salicornia herbacea\. Marsh Samphire, jointed glass wort or saltwort"" \[?\]\."
Dicotyledones,ELASTRACEAE,Salicornia fruticosa [JL],"Salicornia fruticosa var. fortasse [?] S. herbacea. Lin: \[JL\]. ii. ""Mr. Yalden. Weymouth. shrubby"" \[JL\] \[specimen illustrated in Sowerby and Smith, English Botany 35: t. 2467 (1813)\]"
